frame.time_relative,frame.time_delta,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len,tcp.stream,tcp.seq,tcp.ack,tcp.flags.syn,tcp.flags.ack,tcp.flags.fin,tcp.flags.reset
0.001432468,0.000068123,58,127.0.0.1,127.0.0.1,41003,1147,0,30,0,0,True,False,False,False
0.001436510,0.000004042,54,127.0.0.1,127.0.0.1,1147,41003,0,30,1,1,False,True,False,True
0.001455551,0.000019041,58,127.0.0.1,127.0.0.1,41003,424,0,31,0,0,True,False,False,False
0.001459301,0.000003750,54,127.0.0.1,127.0.0.1,424,41003,0,31,1,1,False,True,False,True
0.001477593,0.000018292,58,127.0.0.1,127.0.0.1,41003,1103,0,32,0,0,True,False,False,False
0.001481426,0.000003833,54,127.0.0.1,127.0.0.1,1103,41003,0,32,1,1,False,True,False,True
0.001488134,0.000006708,58,127.0.0.1,127.0.0.1,41003,505,0,33,0,0,True,False,False,False
0.001489634,0.000001500,54,127.0.0.1,127.0.0.1,505,41003,0,33,1,1,False,True,False,True
0.001492634,0.000003000,58,127.0.0.1,127.0.0.1,41003,1941,0,34,0,0,True,False,False,False
0.001494259,0.000001625,54,127.0.0.1,127.0.0.1,1941,41003,0,34,1,1,False,True,False,True
0.001497342,0.000003083,58,127.0.0.1,127.0.0.1,41003,1262,0,35,0,0,True,False,False,False
0.001498884,0.000001542,54,127.0.0.1,127.0.0.1,1262,41003,0,35,1,1,False,True,False,True
0.001502175,0.000003291,58,127.0.0.1,127.0.0.1,41003,659,0,36,0,0,True,False,False,False
0.001503884,0.000001709,54,127.0.0.1,127.0.0.1,659,41003,0,36,1,1,False,True,False,True
0.001507342,0.000003458,58,127.0.0.1,127.0.0.1,41003,1063,0,37,0,0,True,False,False,False
0.001508925,0.000001583,54,127.0.0.1,127.0.0.1,1063,41003,0,37,1,1,False,True,False,True
0.001512467,0.000003542,58,127.0.0.1,127.0.0.1,41003,1939,0,38,0,0,True,False,False,False
0.001513925,0.000001458,54,127.0.0.1,127.0.0.1,1939,41003,0,38,1,1,False,True,False,True
0.001517300,0.000003375,58,127.0.0.1,127.0.0.1,41003,1465,0,39,0,0,True,False,False,False
0.001518800,0.000001500,54,127.0.0.1,127.0.0.1,1465,41003,0,39,1,1,False,True,False,True
0.001521800,0.000003000,58,127.0.0.1,127.0.0.1,41003,368,0,40,0,0,True,False,False,False
0.001523258,0.000001458,54,127.0.0.1,127.0.0.1,368,41003,0,40,1,1,False,True,False,True
0.001526383,0.000003125,58,127.0.0.1,127.0.0.1,41003,238,0,41,0,0,True,False,False,False
0.001527841,0.000001458,54,127.0.0.1,127.0.0.1,238,41003,0,41,1,1,False,True,False,True
0.001531216,0.000003375,58,127.0.0.1,127.0.0.1,41003,970,0,42,0,0,True,False,False,False
0.001532758,0.000001542,54,127.0.0.1,127.0.0.1,970,41003,0,42,1,1,False,True,False,True
0.001535633,0.000002875,58,127.0.0.1,127.0.0.1,41003,1305,0,43,0,0,True,False,False,False
0.001537050,0.000001417,54,127.0.0.1,127.0.0.1,1305,41003,0,43,1,1,False,True,False,True
0.001540258,0.000003208,58,127.0.0.1,127.0.0.1,41003,330,0,44,0,0,True,False,False,False
0.001541716,0.000001458,54,127.0.0.1,127.0.0.1,330,41003,0,44,1,1,False,True,False,True
0.001556382,0.000014666,58,127.0.0.1,127.0.0.1,41003,188,0,45,0,0,True,False,False,False
0.001560257,0.000003875,54,127.0.0.1,127.0.0.1,188,41003,0,45,1,1,False,True,False,True
0.001566799,0.000006542,58,127.0.0.1,127.0.0.1,41003,1482,0,46,0,0,True,False,False,False
0.001568257,0.000001458,54,127.0.0.1,127.0.0.1,1482,41003,0,46,1,1,False,True,False,True
0.001571382,0.000003125,58,127.0.0.1,127.0.0.1,41003,294,0,47,0,0,True,False,False,False
0.001572924,0.000001542,54,127.0.0.1,127.0.0.1,294,41003,0,47,1,1,False,True,False,True
0.001576007,0.000003083,58,127.0.0.1,127.0.0.1,41003,1090,0,48,0,0,True,False,False,False
0.001577382,0.000001375,54,127.0.0.1,127.0.0.1,1090,41003,0,48,1,1,False,True,False,True
0.001580257,0.000002875,58,127.0.0.1,127.0.0.1,41003,1875,0,49,0,0,True,False,False,False
0.001581674,0.000001417,54,127.0.0.1,127.0.0.1,1875,41003,0,49,1,1,False,True,False,True
0.001597132,0.000015458,58,127.0.0.1,127.0.0.1,41003,489,0,50,0,0,True,False,False,False
0.001600923,0.000003791,54,127.0.0.1,127.0.0.1,489,41003,0,50,1,1,False,True,False,True
0.001607715,0.000006792,58,127.0.0.1,127.0.0.1,41003,456,0,51,0,0,True,False,False,False
0.001609215,0.000001500,54,127.0.0.1,127.0.0.1,456,41003,0,51,1,1,False,True,False,True
0.001612048,0.000002833,58,127.0.0.1,127.0.0.1,41003,377,0,52,0,0,True,False,False,False
0.001613548,0.000001500,54,127.0.0.1,127.0.0.1,377,41003,0,52,1,1,False,True,False,True
0.001616423,0.000002875,58,127.0.0.1,127.0.0.1,41003,604,0,53,0,0,True,False,False,False
0.001617923,0.000001500,54,127.0.0.1,127.0.0.1,604,41003,0,53,1,1,False,True,False,True
0.001621173,0.000003250,58,127.0.0.1,127.0.0.1,41003,989,0,54,0,0,True,False,False,False
0.001622589,0.000001416,54,127.0.0.1,127.0.0.1,989,41003,0,54,1,1,False,True,False,True
0.001625714,0.000003125,58,127.0.0.1,127.0.0.1,41003,1753,0,55,0,0,True,False,False,False
0.001627214,0.000001500,54,127.0.0.1,127.0.0.1,1753,41003,0,55,1,1,False,True,False,True
0.001630339,0.000003125,58,127.0.0.1,127.0.0.1,41003,967,0,56,0,0,True,False,False,False
0.001631881,0.000001542,54,127.0.0.1,127.0.0.1,967,41003,0,56,1,1,False,True,False,True
0.001634964,0.000003083,58,127.0.0.1,127.0.0.1,41003,1751,0,57,0,0,True,False,False,False
0.001636339,0.000001375,54,127.0.0.1,127.0.0.1,1751,41003,0,57,1,1,False,True,False,True
0.001639131,0.000002792,58,127.0.0.1,127.0.0.1,41003,219,0,58,0,0,True,False,False,False
0.001640881,0.000001750,54,127.0.0.1,127.0.0.1,219,41003,0,58,1,1,False,True,False,True
0.001643839,0.000002958,58,127.0.0.1,127.0.0.1,41003,556,0,59,0,0,True,False,False,False
0.001645214,0.000001375,54,127.0.0.1,127.0.0.1,556,41003,0,59,1,1,False,True,False,True
0.001648339,0.000003125,58,127.0.0.1,127.0.0.1,41003,1181,0,60,0,0,True,False,False,False
0.001649755,0.000001416,54,127.0.0.1,127.0.0.1,1181,41003,0,60,1,1,False,True,False,True
0.001668088,0.000018333,58,127.0.0.1,127.0.0.1,41003,867,0,61,0,0,True,False,False,False
0.001671005,0.000002917,54,127.0.0.1,127.0.0.1,867,41003,0,61,1,1,False,True,False,True
0.001677213,0.000006208,58,127.0.0.1,127.0.0.1,41003,1358,0,62,0,0,True,False,False,False
0.001678713,0.000001500,54,127.0.0.1,127.0.0.1,1358,41003,0,62,1,1,False,True,False,True
0.001681963,0.000003250,58,127.0.0.1,127.0.0.1,41003,1203,0,63,0,0,True,False,False,False
0.001683421,0.000001458,54,127.0.0.1,127.0.0.1,1203,41003,0,63,1,1,False,True,False,True
0.001686671,0.000003250,58,127.0.0.1,127.0.0.1,41003,1470,0,64,0,0,True,False,False,False
0.001688088,0.000001417,54,127.0.0.1,127.0.0.1,1470,41003,0,64,1,1,False,True,False,True
0.001691088,0.000003000,58,127.0.0.1,127.0.0.1,41003,1320,0,65,0,0,True,False,False,False
0.001692588,0.000001500,54,127.0.0.1,127.0.0.1,1320,41003,0,65,1,1,False,True,False,True
0.001695671,0.000003083,58,127.0.0.1,127.0.0.1,41003,131,0,66,0,0,True,False,False,False
0.001697088,0.000001417,54,127.0.0.1,127.0.0.1,131,41003,0,66,1,1,False,True,False,True
0.001699796,0.000002708,58,127.0.0.1,127.0.0.1,41003,437,0,67,0,0,True,False,False,False
0.001701254,0.000001458,54,127.0.0.1,127.0.0.1,437,41003,0,67,1,1,False,True,False,True
0.001704213,0.000002959,58,127.0.0.1,127.0.0.1,41003,1770,0,68,0,0,True,False,False,False
0.001705629,0.000001416,54,127.0.0.1,127.0.0.1,1770,41003,0,68,1,1,False,True,False,True
0.001708796,0.000003167,58,127.0.0.1,127.0.0.1,41003,1930,0,69,0,0,True,False,False,False
0.001710254,0.000001458,54,127.0.0.1,127.0.0.1,1930,41003,0,69,1,1,False,True,False,True
0.001809669,0.000099415,58,127.0.0.1,127.0.0.1,41003,509,0,70,0,0,True,False,False,False
0.001811419,0.000001750,54,127.0.0.1,127.0.0.1,509,41003,0,70,1,1,False,True,False,True
0.001827127,0.000015708,58,127.0.0.1,127.0.0.1,41003,382,0,71,0,0,True,False,False,False
0.001830918,0.000003791,54,127.0.0.1,127.0.0.1,382,41003,0,71,1,1,False,True,False,True
0.001837418,0.000006500,58,127.0.0.1,127.0.0.1,41003,939,0,72,0,0,True,False,False,False
0.001839126,0.000001708,54,127.0.0.1,127.0.0.1,939,41003,0,72,1,1,False,True,False,True
0.001841918,0.000002792,58,127.0.0.1,127.0.0.1,41003,381,0,73,0,0,True,False,False,False
0.001843501,0.000001583,54,127.0.0.1,127.0.0.1,381,41003,0,73,1,1,False,True,False,True
0.001846501,0.000003000,58,127.0.0.1,127.0.0.1,41003,812,0,74,0,0,True,False,False,False
0.001847918,0.000001417,54,127.0.0.1,127.0.0.1,812,41003,0,74,1,1,False,True,False,True
0.001851168,0.000003250,58,127.0.0.1,127.0.0.1,41003,185,0,75,0,0,True,False,False,False
0.001852751,0.000001583,54,127.0.0.1,127.0.0.1,185,41003,0,75,1,1,False,True,False,True
0.001855501,0.000002750,58,127.0.0.1,127.0.0.1,41003,1848,0,76,0,0,True,False,False,False
0.001857043,0.000001542,54,127.0.0.1,127.0.0.1,1848,41003,0,76,1,1,False,True,False,True
0.001860501,0.000003458,58,127.0.0.1,127.0.0.1,41003,478,0,77,0,0,True,False,False,False
0.001862001,0.000001500,54,127.0.0.1,127.0.0.1,478,41003,0,77,1,1,False,True,False,True
0.001865209,0.000003208,58,127.0.0.1,127.0.0.1,41003,1791,0,78,0,0,True,False,False,False
0.001866667,0.000001458,54,127.0.0.1,127.0.0.1,1791,41003,0,78,1,1,False,True,False,True
0.001869459,0.000002792,58,127.0.0.1,127.0.0.1,41003,38,0,79,0,0,True,False,False,False
0.001870834,0.000001375,54,127.0.0.1,127.0.0.1,38,41003,0,79,1,1,False,True,False,True
0.001873876,0.000003042,58,127.0.0.1,127.0.0.1,41003,508,0,80,0,0,True,False,False,False
0.001875334,0.000001458,54,127.0.0.1,127.0.0.1,508,41003,0,80,1,1,False,True,False,True
0.001878292,0.000002958,58,127.0.0.1,127.0.0.1,41003,635,0,81,0,0,True,False,False,False
0.001879792,0.000001500,54,127.0.0.1,127.0.0.1,635,41003,0,81,1,1,False,True,False,True
0.001882667,0.000002875,58,127.0.0.1,127.0.0.1,41003,1837,0,82,0,0,True,False,False,False
0.001884167,0.000001500,54,127.0.0.1,127.0.0.1,1837,41003,0,82,1,1,False,True,False,True
0.001887167,0.000003000,58,127.0.0.1,127.0.0.1,41003,1341,0,83,0,0,True,False,False,False
0.001888584,0.000001417,54,127.0.0.1,127.0.0.1,1341,41003,0,83,1,1,False,True,False,True
0.001891917,0.000003333,58,127.0.0.1,127.0.0.1,41003,1131,0,84,0,0,True,False,False,False
0.001893375,0.000001458,54,127.0.0.1,127.0.0.1,1131,41003,0,84,1,1,False,True,False,True
0.001896292,0.000002917,58,127.0.0.1,127.0.0.1,41003,1903,0,85,0,0,True,False,False,False
0.001897750,0.000001458,54,127.0.0.1,127.0.0.1,1903,41003,0,85,1,1,False,True,False,True
0.001900750,0.000003000,58,127.0.0.1,127.0.0.1,41003,1922,0,86,0,0,True,False,False,False
0.001902250,0.000001500,54,127.0.0.1,127.0.0.1,1922,41003,0,86,1,1,False,True,False,True
0.001905250,0.000003000,58,127.0.0.1,127.0.0.1,41003,747,0,87,0,0,True,False,False,False
0.001914875,0.000009625,54,127.0.0.1,127.0.0.1,747,41003,0,87,1,1,False,True,False,True
0.001918041,0.000003166,58,127.0.0.1,127.0.0.1,41003,274,0,88,0,0,True,False,False,False
0.001919541,0.000001500,54,127.0.0.1,127.0.0.1,274,41003,0,88,1,1,False,True,False,True
0.001922416,0.000002875,58,127.0.0.1,127.0.0.1,41003,1402,0,89,0,0,True,False,False,False
0.001923874,0.000001458,54,127.0.0.1,127.0.0.1,1402,41003,0,89,1,1,False,True,False,True
0.001926916,0.000003042,58,127.0.0.1,127.0.0.1,41003,1145,0,90,0,0,True,False,False,False
0.001928291,0.000001375,54,127.0.0.1,127.0.0.1,1145,41003,0,90,1,1,False,True,False,True
0.001931166,0.000002875,58,127.0.0.1,127.0.0.1,41003,1414,0,91,0,0,True,False,False,False
0.001932624,0.000001458,54,127.0.0.1,127.0.0.1,1414,41003,0,91,1,1,False,True,False,True
0.001935416,0.000002792,58,127.0.0.1,127.0.0.1,41003,358,0,92,0,0,True,False,False,False
0.001936791,0.000001375,54,127.0.0.1,127.0.0.1,358,41003,0,92,1,1,False,True,False,True
0.001940166,0.000003375,58,127.0.0.1,127.0.0.1,41003,758,0,93,0,0,True,False,False,False
0.001941832,0.000001666,54,127.0.0.1,127.0.0.1,758,41003,0,93,1,1,False,True,False,True
0.001944957,0.000003125,58,127.0.0.1,127.0.0.1,41003,343,0,94,0,0,True,False,False,False
0.001946374,0.000001417,54,127.0.0.1,127.0.0.1,343,41003,0,94,1,1,False,True,False,True
0.001949291,0.000002917,58,127.0.0.1,127.0.0.1,41003,739,0,95,0,0,True,False,False,False
0.001950791,0.000001500,54,127.0.0.1,127.0.0.1,739,41003,0,95,1,1,False,True,False,True
0.001953915,0.000003124,58,127.0.0.1,127.0.0.1,41003,1778,0,96,0,0,True,False,False,False
0.001955249,0.000001334,54,127.0.0.1,127.0.0.1,1778,41003,0,96,1,1,False,True,False,True
0.001958124,0.000002875,58,127.0.0.1,127.0.0.1,41003,1496,0,97,0,0,True,False,False,False
0.001959540,0.000001416,54,127.0.0.1,127.0.0.1,1496,41003,0,97,1,1,False,True,False,True
0.001962624,0.000003084,58,127.0.0.1,127.0.0.1,41003,1502,0,98,0,0,True,False,False,False
0.001964082,0.000001458,54,127.0.0.1,127.0.0.1,1502,41003,0,98,1,1,False,True,False,True
0.001967665,0.000003583,58,127.0.0.1,127.0.0.1,41003,1790,0,99,0,0,True,False,False,False
